"artistName","msPlayed","genre","danceability","energy","key","loudness","mode","speechiness","acousticness","instrumentalness","liveness","valence","tempo","duration_ms","time_signature"
"other",1426175,"Other",0.422,0.264,8,-7.064,1,0.0322,0.922,0,0.132,0.331,119.93,269560,4
"ed sheeran",234986,"Pop",0.54,0.557,11,-6.097,1,0.0259,0.00886,0.000182,0.307,0.287,75.035,237147,4
"pritam",242085,"Filmi",0.683,0.975,7,-3.48,1,0.068,0.0719,0.000384,0.325,0.745,103.026,270470,4
"pritam",230164,"Filmi",0.664,0.792,6,-5.294,1,0.0283,0.184,0.000417,0.106,0.86,139.961,230165,4
"other",1472203,"Pop",0.483,0.781,4,-5.926,1,0.0445,0.349,0,0.126,0.801,83.782,314522,4
"other",9854,"Classical",0.428,0.237,7,-13.764,0,0.0351,0.987,0.896,0.0849,0.357,79.904,460027,4
"other",156000,"Chillhop",0.635,0.238,11,-20.089,0,0.0317,0.91,0.914,0.0857,0.136,120.005,156000,4
"other",600279,"Other",0.453,0.434,4,-11.32,0,0.0291,0.249,0.478,0.0894,0.0768,108.016,296520,4
"other",3351,"Other",0.648,0.707,7,-7.248,1,0.0268,0.0277,2.79e-05,0.099,0.282,127.971,180930,4
"lund",1580900,"Hip Hop",0.741,0.354,2,-15.505,1,0.0812,0.656,0.702,0.384,0.037,120.018,254000,4
"nico collins",14068429,"Other",0.525,0.785,2,-2.407,0,0.0455,0.0356,0,0.103,0.47,170.116,234001,4
"other",138842,"Video Game Music",0.257,0.113,5,-18.99,0,0.0386,0.936,0.93,0.102,0.0417,134.506,138842,3
"kato",57348,"Lo-Fi",0.523,0.617,9,-7.76,0,0.0265,0.0856,0.857,0.139,0.0868,79.964,101820,4
"nico collins",236372,"Other",0.58,0.405,5,-6.859,1,0.0994,0.5,0,0.103,0.642,169.661,236451,4
"kato",61825,"Lo-Fi",0.691,0.00816,9,-25.501,0,0.093,0.992,0.967,0.149,0.424,67.549,61857,4
"other",885272,"Other",0.722,0.514,0,-9.249,0,0.272,0.476,0.0114,0.105,0.568,103.992,178042,4
"other",89717,"Social Media Pop",0.625,0.574,0,-7.343,1,0.0356,0.185,0.00405,0.159,0.305,92.089,193173,4
"other",186585,"Pop",0.549,0.274,1,-12.565,1,0.0379,0.798,6.63e-06,0.103,0.207,86.664,186584,4
"alan walker",1714685,"Electro House",0.673,0.659,3,-4.493,0,0.0439,0.539,0,0.129,0.628,88.011,179053,4
